,nom,id,france,latitude,longitude,weather,nice,T_min,T_max,precipitation_sum,exp_precipitation,nice2
10,Colmar,61423,True,48.0777517,7.3579641,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            61                      14.6   
1  2025-10-31            45                      16.5   
2  2025-11-01            61                      15.5   
3  2025-11-02            80                      13.7   
4  2025-11-03             2                      10.4   
5  2025-11-04             1                      13.3   
6  2025-11-05            61                      14.5   

   apparent_temperature_min  precipitation_sum     poi  
0                       6.7                2.5  Colmar  
1                       2.4                0.0  Colmar  
2                      10.8                6.2  Colmar  
3                       7.9               15.5  Colmar  
4                       2.8                0.2  Colmar  
5                       2.9                0.0  Colmar  
6                       4.0                1.8  Colmar  ",44.42857142857143,5.357142857142857,14.071428571428571,26.2,0.07280286282743559,0.70722781032366
11,Eguisheim,79442,True,48.0447968,7.3079618,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            80                      14.4   
1  2025-10-31             3                      16.5   
2  2025-11-01            61                      17.0   
3  2025-11-02            80                      14.0   
4  2025-11-03             2                      10.1   
5  2025-11-04             1                      13.2   
6  2025-11-05            61                      14.5   

   apparent_temperature_min  precipitation_sum        poi  
0                       8.0                2.3  Eguisheim  
1                       6.8                0.0  Eguisheim  
2                      10.7                6.5  Eguisheim  
3                       8.0               13.7  Eguisheim  
4                       2.3                0.2  Eguisheim  
5                       2.9                0.0  Eguisheim  
6                       4.0                1.8  Eguisheim  ",41.142857142857146,6.1,14.242857142857144,24.5,0.0862935864993705,0.8777290512507399
12,Besançon,103599,True,47.2380222,6.0243622,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            63                      13.7   
1  2025-10-31            45                      19.1   
2  2025-11-01            63                      15.6   
3  2025-11-02            80                      14.7   
4  2025-11-03            45                      10.3   
5  2025-11-04            45                      17.3   
6  2025-11-05            61                      14.1   

   apparent_temperature_min  precipitation_sum       poi  
0                       4.0                5.2  Besançon  
1                       2.7                0.0  Besançon  
2                      11.6               22.3  Besançon  
3                       7.5               33.1  Besançon  
4                       3.0                0.2  Besançon  
5                      -1.6                0.0  Besançon  
6                       2.1                3.6  Besançon  ",57.42857142857143,4.185714285714286,14.97142857142857,64.4,0.0015964066806122474,0.015291295419293026
13,Dijon,74090,True,47.3215806,5.0414701,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                      13.4   
1  2025-10-31            45                      15.4   
2  2025-11-01            63                      15.1   
3  2025-11-02            61                      13.5   
4  2025-11-03             2                      10.6   
5  2025-11-04             3                      10.0   
6  2025-11-05            61                      11.0   

   apparent_temperature_min  precipitation_sum    poi  
0                       6.6                0.0  Dijon  
1                       4.2                0.0  Dijon  
2                      11.6               12.9  Dijon  
3                       7.3               18.7  Dijon  
4                       3.4                0.0  Dijon  
5                       3.1                0.0  Dijon  
6                       7.8                2.4  Dijon  ",34.0,6.285714285714286,12.714285714285714,34.0,0.03337326996032608,0.31704606462309776
14,Annecy,6791758,True,45.8992348,6.1288847,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            81                      17.5   
1  2025-10-31            45                      18.2   
2  2025-11-01             3                      18.3   
3  2025-11-02            63                      12.9   
4  2025-11-03            45                       9.8   
5  2025-11-04            45                      13.5   
6  2025-11-05            61                      12.3   

   apparent_temperature_min  precipitation_sum     poi  
0                       8.2               17.2  Annecy  
1                       6.3                0.0  Annecy  
2                       9.3                0.0  Annecy  
3                       8.5               18.9  Annecy  
4                       1.2                0.3  Annecy  
5                      -2.2                0.0  Annecy  
6                       2.9                2.7  Annecy  ",49.0,4.885714285714286,14.642857142857142,39.099999999999994,0.02004050106168403,0.19568117822372907
15,Grenoble,80348,True,45.1875602,5.7357819,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            80                      17.2   
1  2025-10-31            45                      20.9   
2  2025-11-01             3                      21.5   
3  2025-11-02            65                      16.1   
4  2025-11-03            45                      12.0   
5  2025-11-04            45                      15.4   
6  2025-11-05            61                      15.1   

   apparent_temperature_min  precipitation_sum       poi  
0                      11.8               15.1  Grenoble  
1                       9.2                0.0  Grenoble  
2                      10.6                0.0  Grenoble  
3                       7.5               18.3  Grenoble  
4                       6.7                0.0  Grenoble  
5                       2.4                0.0  Grenoble  
6                       8.4                3.3  Grenoble  ",49.142857142857146,8.085714285714285,16.885714285714283,36.699999999999996,0.025476469946681027,0.3180919247628459
16,Lyon,120965,True,45.7578137,4.8320114,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                      15.1   
1  2025-10-31             3                      21.2   
2  2025-11-01            61                      17.2   
3  2025-11-02            80                      16.7   
4  2025-11-03            45                      10.3   
5  2025-11-04            45                      13.4   
6  2025-11-05            63                      14.1   

   apparent_temperature_min  precipitation_sum   poi  
0                      10.7                0.0  Lyon  
1                       8.1                0.0  Lyon  
2                      13.4                0.1  Lyon  
3                       8.6               19.2  Lyon  
4                       3.7                0.0  Lyon  
5                       1.8                0.0  Lyon  
6                      10.0                7.5  Lyon  ",42.857142857142854,8.042857142857143,15.428571428571429,26.8,0.06856315415427791,0.80463758768199
17,Gorges du Verdon,7193513219,True,43.7496562,6.3285616,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            80                      16.6   
1  2025-10-31            80                      15.8   
2  2025-11-01             3                      14.3   
3  2025-11-02            80                      13.8   
4  2025-11-03             2                      12.2   
5  2025-11-04             2                      10.5   
6  2025-11-05             3                      10.7   

   apparent_temperature_min  precipitation_sum               poi  
0                       8.9               12.5  Gorges du Verdon  
1                      10.0                0.0  Gorges du Verdon  
2                      10.3                0.0  Gorges du Verdon  
3                       5.5                3.0  Gorges du Verdon  
4                       3.1                0.0  Gorges du Verdon  
5                       5.6                0.0  Gorges du Verdon  
6                       8.3                0.0  Gorges du Verdon  ",35.714285714285715,7.385714285714286,13.414285714285715,15.5,0.21224797382674304,2.2073789277981275
18,Bormes les Mimosas,1118915,True,43.1506968,6.3419285,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            53                      20.0   
1  2025-10-31            51                      19.0   
2  2025-11-01            51                      20.8   
3  2025-11-02            55                      20.1   
4  2025-11-03             3                      16.1   
5  2025-11-04             3                      13.3   
6  2025-11-05             3                      12.9   

   apparent_temperature_min  precipitation_sum                 poi  
0                      16.2                1.5  Bormes les Mimosas  
1                      14.7                0.3  Bormes les Mimosas  
2                      16.0                0.2  Bormes les Mimosas  
3                       8.8                4.1  Bormes les Mimosas  
4                       7.1                0.0  Bormes les Mimosas  
5                       9.5                0.0  Bormes les Mimosas  
6                      11.9                0.0  Bormes les Mimosas  ",31.285714285714285,12.02857142857143,17.45714285714286,6.1,0.5433508690744998,8.010544241212626
19,Cassis,76425,True,43.2140359,5.5396318,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            80                      21.7   
1  2025-10-31             3                      21.2   
2  2025-11-01            51                      20.0   
3  2025-11-02            61                      18.6   
4  2025-11-03             2                      16.7   
5  2025-11-04             3                      17.4   
6  2025-11-05            61                      15.8   

   apparent_temperature_min  precipitation_sum     poi  
0                      16.4                4.5  Cassis  
1                      15.4                0.0  Cassis  
2                      16.2                0.1  Cassis  
3                      10.3                3.3  Cassis  
4                       8.9                0.0  Cassis  
5                      14.2                0.0  Cassis  
6                      14.9                0.3  Cassis  ",37.285714285714285,13.757142857142858,18.771428571428572,8.2,0.4404316545059993,7.163306266501147
