,nom,id,france,latitude,longitude,weather,nice
10,Colmar,61423,True,48.0777517,7.3579641,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      17.2   
1  2025-10-23            95                      15.2   
2  2025-10-24            80                       8.2   
3  2025-10-25            80                       8.6   
4  2025-10-26            61                       6.3   
5  2025-10-27            61                       6.9   
6  2025-10-28            80                      10.0   

   apparent_temperature_min  precipitation_sum     poi  
0                      12.3               11.1  Colmar  
1                       7.4               11.9  Colmar  
2                       3.3                0.8  Colmar  
3                       4.3                2.5  Colmar  
4                       2.0                2.7  Colmar  
5                       1.5                3.3  Colmar  
6                       5.6               11.4  Colmar  ",76.71428571428571
11,Eguisheim,79442,True,48.0447968,7.3079618,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      17.9   
1  2025-10-23            81                      16.0   
2  2025-10-24            80                       7.8   
3  2025-10-25            61                       8.0   
4  2025-10-26            61                       6.2   
5  2025-10-27            61                       6.9   
6  2025-10-28            80                      10.0   

   apparent_temperature_min  precipitation_sum        poi  
0                      12.7               12.1  Eguisheim  
1                       7.7               18.2  Eguisheim  
2                       3.4                1.2  Eguisheim  
3                       4.5                1.9  Eguisheim  
4                       1.7                2.4  Eguisheim  
5                       1.7                3.9  Eguisheim  
6                       5.6               11.4  Eguisheim  ",72.0
12,Besancon,103599,True,47.2380222,6.0243622,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            96                      16.9   
1  2025-10-23            80                      15.1   
2  2025-10-24            80                       7.5   
3  2025-10-25            95                       7.7   
4  2025-10-26            80                       4.9   
5  2025-10-27            80                       4.2   
6  2025-10-28            63                       8.8   

   apparent_temperature_min  precipitation_sum       poi  
0                      12.9               36.0  Besancon  
1                       6.8               18.1  Besancon  
2                       4.2                1.6  Besancon  
3                       4.0               10.4  Besancon  
4                       2.8                6.9  Besancon  
5                       0.3                8.1  Besancon  
6                       4.6               10.2  Besancon  ",82.0
13,Dijon,74090,True,47.3215806,5.0414701,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      18.5   
1  2025-10-23            95                      14.3   
2  2025-10-24            61                       8.5   
3  2025-10-25             3                       7.9   
4  2025-10-26            80                       6.0   
5  2025-10-27            61                       6.8   
6  2025-10-28            61                       6.9   

   apparent_temperature_min  precipitation_sum    poi  
0                      12.9               11.2  Dijon  
1                       6.0               28.2  Dijon  
2                       3.8                0.5  Dijon  
3                       4.7                0.6  Dijon  
4                       2.1                1.2  Dijon  
5                       1.7                2.1  Dijon  
6                       5.0                3.3  Dijon  ",63.0
14,Annecy,6791758,True,45.8992348,6.1288847,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            81                      17.8   
1  2025-10-23            80                      16.1   
2  2025-10-24            80                       8.3   
3  2025-10-25            80                       8.4   
4  2025-10-26            80                       6.3   
5  2025-10-27            61                       4.4   
6  2025-10-28            61                      10.0   

   apparent_temperature_min  precipitation_sum     poi  
0                      13.6               11.4  Annecy  
1                       6.8               20.7  Annecy  
2                       5.1                4.8  Annecy  
3                       6.3               12.5  Annecy  
4                       4.1                5.4  Annecy  
5                       2.0               16.2  Annecy  
6                       4.1               11.7  Annecy  ",74.71428571428571
15,Grenoble,80348,True,45.1875602,5.7357819,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            81                      23.2   
1  2025-10-23            80                      17.8   
2  2025-10-24            80                      11.7   
3  2025-10-25            80                      11.9   
4  2025-10-26            80                       7.7   
5  2025-10-27            61                       7.0   
6  2025-10-28            61                      12.4   

   apparent_temperature_min  precipitation_sum       poi  
0                      14.2               12.5  Grenoble  
1                      10.7               16.2  Grenoble  
2                       7.9                2.8  Grenoble  
3                       7.1                7.6  Grenoble  
4                       4.2                2.7  Grenoble  
5                       3.4               12.3  Grenoble  
6                       6.9                3.9  Grenoble  ",74.71428571428571
16,Lyon,120965,True,45.7578137,4.8320114,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      19.7   
1  2025-10-23            80                      16.6   
2  2025-10-24            80                      11.9   
3  2025-10-25            61                      12.3   
4  2025-10-26             3                       7.6   
5  2025-10-27            80                       8.9   
6  2025-10-28            61                      12.0   

   apparent_temperature_min  precipitation_sum   poi  
0                      14.4               11.3  Lyon  
1                      10.0                5.1  Lyon  
2                       7.4                1.2  Lyon  
3                       7.3                0.7  Lyon  
4                       5.5                1.8  Lyon  
5                       3.6               14.4  Lyon  
6                       7.8                0.3  Lyon  ",63.57142857142857
17,Gorges du Verdon,7193513219,True,43.7496562,6.3285616,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      14.4   
1  2025-10-23            80                      13.6   
2  2025-10-24             3                       4.6   
3  2025-10-25             3                       6.2   
4  2025-10-26             3                       3.8   
5  2025-10-27             1                       3.4   
6  2025-10-28             3                       9.7   

   apparent_temperature_min  precipitation_sum               poi  
0                      11.1                2.2  Gorges du Verdon  
1                       0.4                4.4  Gorges du Verdon  
2                      -1.0                0.0  Gorges du Verdon  
3                       3.4                0.0  Gorges du Verdon  
4                      -1.2                0.0  Gorges du Verdon  
5                      -1.8                0.0  Gorges du Verdon  
6                       2.8                0.0  Gorges du Verdon  ",24.714285714285715
18,Bormes les Mimosas,1118915,True,43.1506968,6.3419285,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            61                      22.9   
1  2025-10-23             3                      21.4   
2  2025-10-24             3                      12.5   
3  2025-10-25            51                      16.6   
4  2025-10-26             3                      12.1   
5  2025-10-27             3                       7.6   
6  2025-10-28             3                      11.5   

   apparent_temperature_min  precipitation_sum                 poi  
0                      14.7                3.6  Bormes les Mimosas  
1                       9.9                0.0  Bormes les Mimosas  
2                       8.0                0.0  Bormes les Mimosas  
3                       8.8                0.1  Bormes les Mimosas  
4                       2.2                0.0  Bormes les Mimosas  
5                       0.8                0.0  Bormes les Mimosas  
6                       7.4                0.0  Bormes les Mimosas  ",18.142857142857142
19,Cassis,76425,True,43.2140359,5.5396318,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            53                      23.1   
1  2025-10-23             3                      23.5   
2  2025-10-24             3                      14.9   
3  2025-10-25            51                      15.7   
4  2025-10-26             3                      11.6   
5  2025-10-27             1                      13.0   
6  2025-10-28             3                      13.0   

   apparent_temperature_min  precipitation_sum     poi  
0                      17.2                1.1  Cassis  
1                      11.1                0.0  Cassis  
2                      10.0                0.0  Cassis  
3                      10.0                0.4  Cassis  
4                       6.0                0.0  Cassis  
5                       5.7                0.0  Cassis  
6                      10.8                0.0  Cassis  ",16.714285714285715
